"mthyr","country","price","year","month"
1996-01-01,"Spain",78.073,1996,1
1996-02-01,"Belgium",76.5985,1996,2
1996-02-01,"Denmark",62.8258,1996,2
1996-02-01,"France",69.1609,1996,2
1996-02-01,"Greece",115.2287,1996,2
1996-02-01,"Ireland",78.0083,1996,2
1996-02-01,"Italy",86.4312,1996,2
1996-02-01,"Netherlands",67.1434,1996,2
1996-02-01,"Spain",83.539,1996,2
1996-03-01,"Belgium",84.4928,1996,3
1996-03-01,"Denmark",60.8452,1996,3
1996-03-01,"France",69.5419,1996,3
1996-03-01,"Greece",116.298,1996,3
1996-03-01,"Ireland",78.1836,1996,3
1996-03-01,"Italy",97.9532,1996,3
1996-03-01,"Netherlands",67.4762,1996,3
1996-03-01,"Spain",77.8483,1996,3
1996-04-01,"Belgium",91.4244,1996,4
1996-04-01,"Denmark",61.6839,1996,4
1996-04-01,"France",70.7107,1996,4
1996-04-01,"Greece",117.2409,1996,4
1996-04-01,"Ireland",78.879,1996,4
1996-04-01,"Italy",129.6801,1996,4
1996-04-01,"Netherlands",68.5947,1996,4
1996-04-01,"Spain",92.584,1996,4
1996-05-01,"Belgium",81.9439,1996,5
1996-05-01,"Denmark",61.6589,1996,5
1996-05-01,"France",71.5826,1996,5
1996-05-01,"Greece",118.761,1996,5
1996-05-01,"Ireland",79.9529,1996,5
1996-05-01,"Italy",121.6932,1996,5
1996-05-01,"Netherlands",68.7783,1996,5
1996-05-01,"Spain",103.9996,1996,5
1996-06-01,"Belgium",97.1678,1996,6
1996-06-01,"Denmark",61.6611,1996,6
1996-06-01,"France",72.6334,1996,6
1996-06-01,"Greece",120.0748,1996,6
1996-06-01,"Ireland",80.5754,1996,6
1996-06-01,"Italy",108.9187,1996,6
1996-06-01,"Netherlands",70.4437,1996,6
1996-06-01,"Spain",93.0527,1996,6
1996-07-01,"Belgium",93.2364,1996,7
1996-07-01,"Denmark",63.1139,1996,7
1996-07-01,"France",73.2653,1996,7
1996-07-01,"Greece",125.6272,1996,7
1996-07-01,"Ireland",80.6236,1996,7
1996-07-01,"Italy",101.8206,1996,7
1996-07-01,"Netherlands",71.8123,1996,7
1996-07-01,"Spain",90.1843,1996,7
1996-08-01,"Belgium",100.7772,1996,8
1996-08-01,"Denmark",63.5045,1996,8
1996-08-01,"France",73.008,1996,8
1996-08-01,"Greece",120.8165,1996,8
1996-08-01,"Ireland",80.2114,1996,8
1996-08-01,"Italy",88.4865,1996,8
1996-08-01,"Netherlands",74.0459,1996,8
1996-08-01,"Spain",97.1183,1996,8
1996-09-01,"Belgium",86.0948,1996,9
1996-09-01,"Denmark",65.7527,1996,9
1996-09-01,"France",72.758,1996,9
1996-09-01,"Greece",120.4714,1996,9
1996-09-01,"Ireland",80.8822,1996,9
1996-09-01,"Italy",91.757,1996,9
1996-09-01,"Netherlands",74.2115,1996,9
1996-09-01,"Spain",95.3969,1996,9
1996-10-01,"Belgium",80.2871,1996,10
1996-10-01,"Denmark",65.7885,1996,10
1996-10-01,"France",72.6674,1996,10
1996-10-01,"Greece",121.5207,1996,10
1996-10-01,"Ireland",81.2851,1996,10
1996-10-01,"Italy",87.089,1996,10
1996-10-01,"Netherlands",74.1723,1996,10
1996-10-01,"Spain",90.6745,1996,10
1996-11-01,"Belgium",68.828,1996,11
